"Date","Price","Open","High","Low","Vol.","Change %"
"24/07/2024","73,596.11","73,652.16","73,791.04","73,301.07","87.22M","-0.08%"
"23/07/2024","73,652.16","73,476.05","73,845.34","72,840.11","106.72M","0.24%"
"22/07/2024","73,476.05","72,930.75","73,697.13","72,930.75","76.64M","0.75%"
"19/07/2024","72,930.75","72,851.45","72,930.75","72,477.55","85.08M","-0.57%"
"18/07/2024","73,351.72","73,463.90","74,031.14","73,293.10","132.21M","-0.15%"
"17/07/2024","73,463.90","74,057.76","74,080.51","73,463.90","120.16M","-0.80%"
"16/07/2024","74,057.76","75,185.83","75,185.83","73,881.75","116.56M","-1.50%"
"15/07/2024","75,185.83","74,702.99","75,185.83","74,062.78","147.56M","0.65%"
"12/07/2024","74,702.99","74,121.69","74,826.01","74,121.69","71.48M","0.78%"
"11/07/2024","74,121.69","73,478.00","74,200.62","73,478.00","91.50M","0.88%"
"10/07/2024","73,478.00","73,580.41","73,669.41","73,253.62","83.70M","-0.14%"
"09/07/2024","73,580.41","73,717.47","73,855.16","73,267.65","89.66M","-0.19%"
"08/07/2024","73,717.47","73,729.27","73,908.51","73,380.42","76.88M","-0.02%"
"05/07/2024","73,729.27","73,991.94","74,208.67","73,576.20","67.43M","-0.35%"
"04/07/2024","73,991.94","73,681.78","74,342.60","73,559.29","68.28M","0.42%"
"03/07/2024","73,681.78","72,556.50","73,947.06","72,556.50","100.55M","1.55%"
"02/07/2024","72,556.50","72,805.61","73,044.51","72,117.68","120.57M","-0.34%"
"01/07/2024","72,805.61","72,979.42","73,627.72","72,805.61","149.02M","-0.24%"
"28/06/2024","72,979.42","72,287.12","73,390.93","72,219.62","138.73M","0.96%"
"27/06/2024","72,287.12","72,563.55","72,628.19","72,013.40","100.32M","-0.38%"
"26/06/2024","72,563.55","72,903.06","73,461.18","72,548.42","121.98M","-0.47%"
"25/06/2024","72,903.06","73,512.36","73,527.21","72,661.38","109.54M","-0.83%"
"24/06/2024","73,512.36","72,857.56","73,971.89","72,857.56","126.93M","0.90%"
"21/06/2024","72,857.56","73,266.86","73,713.26","72,798.20","347.84M","-0.56%"
"20/06/2024","73,266.86","73,796.46","74,183.99","73,186.43","365.53M","-0.72%"
"19/06/2024","73,796.46","72,863.74","74,447.53","72,863.74","215.90M","1.28%"
"18/06/2024","72,863.74","70,519.55","73,145.66","70,517.50","249.31M","3.32%"
"14/06/2024","70,519.55","69,999.55","71,200.83","69,895.41","207.49M","0.74%"
"13/06/2024","69,999.55","70,706.56","70,746.79","69,966.17","146.26M","-1.00%"
"12/06/2024","70,706.56","69,786.85","70,944.56","69,786.85","130.99M","1.32%"
"11/06/2024","69,786.85","69,919.66","70,129.39","69,476.25","129.32M","-0.19%"
"10/06/2024","69,919.66","70,531.54","70,531.54","69,669.34","95.40M","-0.87%"
"07/06/2024","70,531.54","70,937.85","71,194.73","70,331.21","119.97M","-0.57%"
"06/06/2024","70,937.85","70,582.69","71,232.69","70,572.81","97.25M","0.50%"
"05/06/2024","70,582.69","70,562.21","70,952.75","70,264.85","119.44M","0.03%"
"04/06/2024","70,562.21","71,424.87","71,574.20","70,562.21","137.64M","-1.21%"
"03/06/2024","71,424.87","70,455.35","71,514.69","70,455.35","128.85M","1.38%"
"31/05/2024","70,455.35","70,942.43","71,092.99","70,392.89","233.97M","-0.69%"
"30/05/2024","70,942.43","72,189.63","72,189.63","70,478.51","181.35M","-1.13%"
